name,slug,value,date_of_information,ranking,region
"Liechtenstein","liechtenstein","$4,978,000,000","2014",186,"Europe"
"Virgin Islands","virgin-islands","$4,900,000,000","2022",187,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","$4,852,000,000","2023",188,"Africa"
"Aruba","aruba","$4,350,000,000","2023",189,"Central America and the Caribbean"
"Curacao","curacao","$4,271,000,000","2023",190,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","$4,196,000,000","2023",191,"Central America and the Caribbean"
"Greenland","greenland","$3,857,000,000","2021",192,"North America"
"Faroe Islands","faroe-islands","$3,834,000,000","2023",193,"Europe"
"Seychelles","seychelles","$3,530,000,000","2023",194,"Africa"
"Guernsey","guernsey","$3,465,000,000","2015",195,"Europe"
"Comoros","comoros","$2,975,000,000","2023",196,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","$2,703,000,000","2023",197,"Central America and the Caribbean"
"San Marino","san-marino","$2,393,000,000","2022",198,"Europe"
"Gibraltar","gibraltar","$2,044,000,000","2014",199,"Europe"
"Solomon Islands","solomon-islands","$2,027,000,000","2023",200,"Australia and Oceania"
"Grenada","grenada","$1,984,000,000","2023",201,"Central America and the Caribbean"
"Sint Maarten","sint-maarten","$1,919,000,000","2023",202,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$1,858,000,000","2023",203,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$1,422,000,000","2023",204,"Central America and the Caribbean"
"Samoa","samoa","$1,366,000,000","2023",205,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$1,279,000,000","2023",206,"Africa"
"Northern Mariana Islands","northern-mariana-islands","$1,242,000,000","2016",207,"Australia and Oceania"
"Dominica","dominica","$1,159,000,000","2023",208,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","$1,030,000,000","2023",209,"Central America and the Caribbean"
"Vanuatu","vanuatu","$999,162,000","2023",210,"Australia and Oceania"
