name,slug,value,date_of_information,ranking,region
Cayman Islands,cayman-islands,5705000000.0,2023,179,Central America and the Caribbean
Barbados,barbados,5634000000.0,2024,180,Central America and the Caribbean
Jersey,jersey,5569000000.0,2016,181,Europe
Belize,belize,5538000000.0,2024,182,Central America and the Caribbean
Andorra,andorra,5402000000.0,2024,183,Europe
Cabo Verde,cabo-verde,5200000000.0,2024,184,Africa
Virgin Islands,virgin-islands,4900000000.0,2022,185,Central America and the Caribbean
Saint Lucia,saint-lucia,4359000000.0,2024,186,Central America and the Caribbean
Aruba,aruba,4350000000.0,2023,187,Central America and the Caribbean
Curacao,curacao,4312000000.0,2023,188,Central America and the Caribbean
Greenland,greenland,4040000000.0,2023,189,North America
Faroe Islands,faroe-islands,3834000000.0,2023,190,Europe
Seychelles,seychelles,3549000000.0,2024,191,Africa
Comoros,comoros,3092000000.0,2024,192,Africa
Antigua and Barbuda,antigua-and-barbuda,2772000000.0,2024,193,Central America and the Caribbean
Eritrea,eritrea,2534000000.0,2024,194,Africa
San Marino,san-marino,2393000000.0,2022,195,Europe
Grenada,grenada,2080000000.0,2024,196,Central America and the Caribbean
Solomon Islands,solomon-islands,2070000000.0,2024,197,Australia and Oceania
Sint Maarten,sint-maarten,1986000000.0,2024,198,Central America and the Caribbean
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,1883000000.0,2024,199,Central America and the Caribbean
British Virgin Islands,british-virgin-islands,1634000000.0,2024,200,Central America and the Caribbean
Turks and Caicos Islands,turks-and-caicos-islands,1554000000.0,2024,201,Central America and the Caribbean
Samoa,samoa,1503000000.0,2024,202,Australia and Oceania
Saint Kitts and Nevis,saint-kitts-and-nevis,1465000000.0,2024,203,Central America and the Caribbean
Sao Tome and Principe,sao-tome-and-principe,1291000000.0,2024,204,Africa
Northern Mariana Islands,northern-mariana-islands,1242000000.0,2016,205,Australia and Oceania
Dominica,dominica,1241000000.0,2024,206,Central America and the Caribbean
Vanuatu,vanuatu,1039000000.0,2024,207,Australia and Oceania
Tonga,tonga,740082000.0,2023,208,Australia and Oceania
American Samoa,american-samoa,658000000.0,2016,209,Australia and Oceania
Kiribati,kiribati,438143000.0,2024,210,Australia and Oceania
